Name,Address,Fees,Placement,Hostel,Transportation,Link

Ahmedabad University,"Ahmedabad University South Campus, 1, Central University Rd, Navrangpura, Ahmedabad, Gujarat 380009        	 ","₹50,000 - ₹60,000	",N/A,No,No,https://ahduni.edu.in/:

L.D. Arts College,"Sardar Patel Marg, Ellis Bridge, Ahmedabad, Gujarat 380006","₹10,000 - ₹15,000	",N/A,yes,No,https://www.ldarts.org/:

Gujarat University,"Ahmedabad University South Campus, 1, Central University Rd, Navrangpura, Ahmedabad, Gujarat 380009","₹5,000 - ₹10,000	",N/A,Yes,No,https://www.gujaratuniversity.ac.in/:

C.U. Shah Arts College,"Nr. Gandhi Bridge, Ashram Road, Ahmedabad, Gujarat 380009","₹10,000 - ₹15,000",N/A,No,No,https://www.cushahcommercecollege.org/



Sheth R.A. College of Arts and Commerce,"Near Gandhi Bridge, Ashram Road, Ahmedabad, Gujarat 380009","₹10,000 - ₹15,000",N/A,No,No,https://www.bhavancollege.org/: 

