Question,Option A,Option B,Option C,Option D,Answer

Q. What is the value of 5 + 7 * 2?,A) 14,B) 19,C) 26,D) 33,Answer: B

"Q. If a = 4 and b = 3, what is the value of a² + b²?",A) 5,B) 7,C) 16,D) 25,Answer: C

Q. What is the value of 9 ÷ (3 + 6)?,A) 1,B) 3,C) 9,D) 27,Answer: A

Q. Solve: 3(4 + 2) - 5 × 2,A) 1,B) 7,C) 11,D) 17,Answer: B

"Q. If 2x - 7 = 11, what is the value of x?",A) 9,B) 10,C) 11,D) 12,Answer: D

Q. What is the result of (4² + 3³) ÷ 7?,A) 6,B) 7,C) 8,D) 9,Answer: C

Q. Solve: 3x + 8 = 20,A) x = 4,B) x = 6,C) x = 7,D) x = 9,Answer: B

"Q. If x = 5 and y = 2, what is the value of 2x - y?",A) 8,B) 7,C) 6,D) 5,Answer: A

Q. What is the product of 4 and 3?,A) 7,B) 9,C) 11,D) 12,Answer: D

Q. Solve: 2(x + 3) = 16,A) x = 5,B) x = 7,C) x = 8,D) x = 10,Answer: C

Q. What is the value of 3⁴?,A) 27,B) 81,C) 64,D) 243,Answer: B

"Q. If 4x + 5 = 21, what is the value of x?",A) 4,B) 5,C) 6,D) 7,Answer: C

Q. What is the sum of 8 and 12?,A) 18,B) 19,C) 20,D) 21,Answer: C

Q. Solve: 2x - 3 = 7,A) x = 4,B) x = 5,C) x = 6,D) x = 7,Answer: C

Q. What is the result of (6 - 3) × (4 + 2)?,A) 12,B) 18,C) 24,D) 36,Answer: B

"Q. If x = 8 and y = 2, what is the value of x² - y²?",A) 62,B) 60,C) 56,D) 48,Answer: C

Q. What is the value of 10 ÷ 2(1 + 3)?,A) 2,B) 5,C) 10,D) 20,Answer: B

Q. Solve: 3(2x + 4) = 30,A) x = 5,B) x = 6,C) x = 7,D) x = 8,Answer: A

Q. What is the result of √(16 + 9)?,A) 3,B) 5,C) 7,D) 25,Answer: B

